ref;design;Preco_Euros
CSATALOTGR;AT: CS Advanced Lotes p/ Gestão Rede;967
CSSAEDEPOS;SA: CS Enterprise Documentos Eletrónicos p/ POS;72
CSSAABEN;SA: CS Web Advanced Benefits;0
CSWEEB2C;CS Web Enterprise E-Commerce B2C;4509
CSSAAMESTS1P;SA: CS Advanced MultiEstação Serviço 1º Posto;187
CSDEIMOB5;CS Desktop Enterprise Imobilizado 1a5 U.A.;569
CSDEPROJ20;CS Desktop Enterprise Projeto p/ Gestão 6a20 U.A.;357
CSSADACRMUA;SA: CS Desktop Advanced CRM U.A.;58
CSSACPOS1P;SA: CS Corporate POS 1º Posto;109
CSSAWASMSE;SA: CS WEB Advanced SMS Extranet;14
CSCDESA;CS Corporate Documentos Eletrónicos Srv.Adic.;200
CSETERMR10P;CS Enterprise Terminais p/ Rest. 1a10 Postos;158
CSSACGESM;SA: CS Corporate Gestão Mono;690
CSDEFROT20;CS Desktop Enterprise Frota 6a20 U.A.;206
CSONCVENCSAM;ON: CS Corporate Vencimentos Srv.Adic.Mono;138
CSSAWEEQUI20;SA: CS Web Enterprise Equipa 6a20 U.A.;55
CSCCONTPM;CS Corporate Controlo p/ Gestão Mono;720
CSSAEFORNR10P;SA: CS Enterprise Fornecedores p/ Rest. 1a10 Postos;232
CSSAARES1P;SA: CS Advanced Restauração 1º Posto;181
CSONMCSERVGSAR;ON(m): CS Corporate Serviços Srv.Adic.Rede;5,75
CSATDASUPSTUA;AT: CS Desktop Advanced Suporte + Stocks U.A.;112
CSATDALOTGUA;AT: CS Desktop Advanced Lotes p/ Gestão U.A.;69
CSATECRMSA;AT: CS Enterprise CRM Srv.Adic.;672
CSSAWADOCE;SA: CS Web Advanced Documentos Extranet;395
CSDAGREGUA;CS Desktop Advanced Grelhas p/ Gestão U.A.;38
CSONEDERES;ON: CS Enterprise Documentos Eletrónicos p/ Restauração;48
CSATWAEQUIUA;AT: CS Web Advanced Equipa U.A.;60
CSONMARGPD;ON(m): CS Advanced RGPD;14,42
CSDECONS21;CS Desktop Enterprise Consolidação +20 U.A.;139
CSATDCFORMUA;AT: CS Desktop Corporate Formação U.A.;45
CSONMCORCAPM;ON(m): CS Corporate Orçamento p/ Gestão Mono;30,42
CSATELOGIGR;AT: CS Enterprise Logística p/ Gestão Rede;1152
CSONEGESSA;ON: CS Enterprise Gestão Srv.Adic.;553
CSONMDEREVIP20;ON(m): CS Desktop Enterprise Revisão de Preços 6a20 U.A.;2,75
CSWEDOC5;CS Web Enterprise Documentos 1a5 U.A.;269
CSATDECRM5;AT: CS Desktop Enterprise CRM 1a5 U.A.;205
CSATDCSUPUA;AT: CS Desktop Corporate Suporte U.A.;37
CSONECARSA;ON: CS Enterprise Careers Srv.Adic.;168
CSONWEOKR100;ON: CS Web Enterprise OKR 21a100 U.A.;23
CSONASUPSA;ON: CS Advanced Suporte Srv.Adic.;278
CSONDECAR5;ON: CS Desktop Enterprise Careers 1a5 U.A.;137
CSONMEVENCR;ON(m): CS Enterprise Vencimentos Rede;124,75
CSONMWARGPD;ON(m): CS Web Advanced RGPD;0,92
CSONMWADOCE;ON(m): CS Web Advanced Documentos Extranet;22
CSATAFORMR;AT: CS Advanced Formação Rede;1160
CSEFORNP10P;CS Enterprise Fornecedores p/ POS 1a10 Postos;645
CSATWAVENCUA;AT: CS Web Advanced Vencimentos U.A.;105
CSCCONTPSAM;CS Corporate Controlo p/ Gestão Srv.Adic.Mono;360
CSONMARESPA;ON(m): CS Advanced Restauração Posto Adic.;12,08
CSMMMOLR;CS Manufactor Manager Moldes Rede;558
CSONMWEDOC401;ON(m): CS Web Enterprise Documentos +400 U.A.;0,25
CSSADCPLANPUA;SA: CS Desktop Corporate Planeamento p/ Gestão U.A.;14
CSONMEIECAP21P;ON(m): CS Enterprise IEC Álcool p/ POS +20 Postos;1,67
CSSADEEQPMG5;SA: CS Desktop Enterprise Equipamento p/ Gestão 1a5 U.A.;43
CSONEVENCSA;ON: CS Enterprise Vencimentos Srv.Adic.;449
CSONMWECOLAB5;ON(m): CS Web Enterprise Colaborador 1a5 U.A.;2,5
CSSADELOGIG5;SA: CS Desktop Enterprise Logística p/ Gestão 1a5 U.A.;76
CSATAOCUGR;AT: CS Advanced Ocupação p/ Gestão Rede;967
CSDAIMOVUA;CS Desktop Advanced Imóveis U.A.;159
CSATWARGPD;AT: CS Web Advanced RGPD;23
CSATWEECOE;AT: CS Web Enterprise Ecovalor Extranet;257
CSSAASMS;SA: CS Advanced SMS;115
CSSAECARR;SA: CS Enterprise Careers Rede;841
CSAXL1P;CS Advanced XL 1º Posto;648
CSSAWACONTUA;SA: CS Web Advanced Contabilidade U.A.;58
CSATMEGREPUA;AT: CS Manufactor Executive Grelhas U.A.;121
CSWCLOTG120;CS Web Corporate Lotes p/ Gestão 1a20 U.A.;27
CSSADEMEDIP5;SA: CS Desktop Enterprise Medição p/ Gestão 1a5 U.A.;107
CSSADEGREG20;SA: CS Desktop Enterprise Grelhas p/ Gestão 6a20 U.A.;20
CSONAORCAPR;ON: CS Advanced Orçamento p/ Gestão Rede;557
CSONMAINT;ON(m): CS Advanced Intrastat;30,42
CSONMEEQPMGR;ON(m): CS Enterprise Equipamento p/ Gestão Rede;26,58
CSWCDOCE;CS Web Corporate Documentos Extranet;498
CSATEECOGR;AT: CS Enterprise Ecovalor p/ Gestão Rede;664
CSATCPROJSAM;AT: CS Corporate Projeto p/ Gestão Srv.Adic.Mono;881
CSONDCSUPUA;ON: CS Desktop Corporate Suporte U.A.;18
CSONWEEQUI20;ON: CS Web Enterprise Equipa 6a20 U.A.;37
CSONWAGREE;ON: CS Web Advanced Grelhas Extranet;57
CSWACAR101;CS Web Advanced Careers +100 U.A.;9
CSONMDACONSUA;ON(m): CS Desktop Advanced Consolidação U.A.;8,92
CSCMEDIPSAR;CS Corporate Medição p/ Gestão Srv.Adic.Rede;912
ENTFEPSSP;Ficha Enterprise Partner Semestral (USB );44
CSATELETSA;AT: CS Enterprise Letras Srv.Adic.;595
CSONMEINTSA;ON(m): CS Enterprise Intrastat Srv.Adic.;19,25
CSONMDEREVIP21;ON(m): CS Desktop Enterprise Revisão de Preços +20 U.A.;1,5
CSONMALETR;ON(m): CS Advanced Letras Rede;46,42
CSESUPSTSA;CS Enterprise Suporte + Stocks Srv.Adic.;2376
CSSAWEIMOB21;SA: CS Web Enterprise Imobilizado +20 U.A.;35
CSONMWASUPE;ON(m): CS Web Advanced Suporte Extranet;40
CSONMWACONTUA;ON(m): CS Web Advanced Contabilidade U.A.;3,25
CSATEOBRGR;AT: CS Enterprise Obras p/ Gestão Rede;664
CSONASERVGR;ON: CS Advanced Serviços Rede;143
CSSAWEGEB2C;SA: CS Web Enterprise Grelhas p/ E-Commerce B2C;185
CSONAFROTSA;ON: CS Advanced Frota Srv.Adic.;278
CSSAWEFORM21;SA: CS Web Enterprise Formação +20 U.A.;38
CSATCGREP5P;AT: CS Corporate Grelhas p/ POS 1a5 Postos;38
CSONEOBRGR;ON: CS Enterprise Obras p/ Gestão Rede;319
CSSACDEPOS;SA: CS Corporate Documentos Eletrónicos p/ POS;29
CSONDEIMOB20;ON: CS Desktop Enterprise Imobilizado 6a20 U.A.;68
CSEEQPMGR;CS Enterprise Equipamento p/ Gestão Rede;1328
TOGENTBPARTNER;Together Enterprise Partner;1800
CSERES10P;CS Enterprise Restauração 1a10 Postos;968
CSONMWCLOTG120;ON(m): CS Web Corporate Lotes p/ Gestão 1a20 U.A.;0,5
CSWAECOE;CS Web Advanced Ecovalor Extranet;238
CSONMDESHST21;ON(m): CS Desktop Enterprise SHST +20 U.A.;0,92
CSONDCGESUA;ON: CS Desktop Corporate Gestão U.A.;28
CSONDAGAI101;ON: CS Desktop Advanced GenAI +100 U.A.;2
CSSAWESMSE;SA: CS WEB Enterprise SMS Extranet;21
CSONMWEFORME;ON(m): CS Web Enterprise Formação Extranet;59,92
CSWEGES20;CS Web Enterprise Gestão 6a20 U.A.;600
CSCEQPMGM;CS Corporate Equipamento p/ Gestão Mono;483
CSONEMULTR10P;ON: CS Enterprise Multilingua p/ Restauração 1a10 Postos;38
CSATCEQPMP5P;AT: CS Corporate Equipamento p/ POS 1a5 Postos;50
CSWEEQPMG5;CS Web Enterprise Equipamento p/ Gestão 1a5 U.A.;90
CSONAXL1P;ON: CS Advanced XL 1º Posto;156
CSSADCCLIUA;SA: CS Desktop Corporate Clínica U.A.;26
CSONDESUPST21;ON: CS Desktop Enterprise Suporte + Stocks +20 U.A.;42
CSONMCCONTSAR;ON(m): CS Corporate Contabilidade Srv.Adic.Rede;13,42
CSWAEDIB;CS Web Advanced EDI Broker;47
CSONMADEN;ON(m): CS Advanced Denúncias;14,42
CSDEEQPMG21;CS Desktop Enterprise Equipamento p/ Gestão +20 U.A.;28
CSONMCCONTPSAR;ON(m): CS Corporate Controlo p/ Gestão Srv.Adic.Rede;8,67
CSATCFROTR;AT: CS Corporate Frota Rede;576
CSCMULTSA;CS Corporate Multilingua Srv.Adic.;231
CSONMCFORMM;ON(m): CS Corporate Formação Mono;28,83
CSATEVENCR;AT: CS Enterprise Vencimentos Rede;3119
CSSAWASUPUA;SA: CS Web Advanced Suporte U.A.;43
CSONWADEINT;ON: CS Web Advanced Documentos Eletrónicos Intranet;11
CSSACFAT1P;SA: CS Corporate Faturação 1º Posto;90
CSONMEDE;ON(m): CS Enterprise Documentos Eletrónicos;30,42
CSSAWECOLAB100;SA: CS Web Enterprise Colaborador 21a100 U.A.;23
CSATERMRPA;CS Advanced Terminais p/ Rest. Posto;120
CSONCFAT1P;ON: CS Corporate Faturação 1º Posto;60
CSSADEIMOB20;SA: CS Desktop Enterprise Imobilizado 6a20 U.A.;102
CSONMDECLI20;ON(m): CS Desktop Enterprise Clínica 6a20 U.A.;4,08
CSONACARSA;ON: CS Advanced Careers Srv.Adic.;141
CSACONTR;CS Advanced Contabilidade Rede;3119
SQL22FUSTSERVER;Servidor SQL Fulluse Server 2022 STANDARD Edition;1834
CSDECLI5;CS Desktop Enterprise Clínica 1a5 U.A.;401
CSATESERVGSA;AT: CS Enterprise Serviços Srv.Adic.;199
CSSADEQUADB21;SA: CS Desktop Enterprise Qualidade+Documentos+BPM +20 U.A.;51
CSSACSUPR;SA: CS Corporate Suporte Rede;483
CSONCIECAGSAM;ON: CS Corporate IEC Álcool p/ Gestão Srv.Adic.Mono;58
CSONMAGESSA;ON(m): CS Advanced Gestão Srv.Adic.;39,67
CSSADEECOG20;SA: CS Desktop Enterprise Ecovalor p/ Gestão 6a20 U.A.;20
CSSAAFORNPPA;SA: CS Advanced Fornecedores p/ POS Posto;183
CSONCDOCSAM;ON: CS Corporate Documentos Srv.Adic.Mono;96
CSATEECOP21P;AT: CS Enterprise Ecovalor p/ POS +20 Postos;41
CSEDOCBSA;CS Enterprise Documentos + BPM Srv.Adic.;1190
CSONDEFROT21;ON: CS Desktop Enterprise Frota +20 U.A.;25
CSSAEECOGR;SA: CS Enterprise Ecovalor p/ Gestão Rede;477
CSONCLOTGSAM;ON: CS Corporate Lotes p/ Gestão Srv.Adic.Mono;77
CSONWEIMOB20;ON: CS Web Enterprise Imobilizado 6a20 U.A.;47
CSONDEMEDIP20;ON: CS Desktop Enterprise Medição p/ Gestão 6a20 U.A.;36
CSATCEQUIR;AT: CS Corporate Equipa Rede;576
CSONMAORCAPR;ON(m): CS Advanced Orçamento p/ Gestão Rede;46,42
CSCEQUISAM;CS Corporate Equipa Srv.Adic.Mono;481
CSDCGESCLUA;CS Desktop Corporate Gestão Clientes U.A.;27
CSATEFORMSA;AT: CS Enterprise Formação Srv.Adic.;949
CSONMDCCONTPUA;ON(m): CS Desktop Corporate Controlo p/ Gestão U.A.;0,83
CSATDCREVIPUA;AT: CS Desktop Corporate Revisão de Preços U.A.;48
CSONEMESTS1P;ON: CS Enterprise Multi Estação Serviço 1º Posto;153
CSONMCOBRGSAM;ON(m): CS Corporate Obras p/ Gestão Srv.Adic.Mono;6,42
CSONWARECRU21;ON: CS Web Advanced Recrutamento +20 U.A.;18
CSONDAREVIPUA;ON: CS Desktop Advanced Revisão de Preços U.A.;38
CSSAWADEEXT;SA: CS Web Advanced Documentos Eletrónicos Extranet;162
CSONAPLANPSA;ON: CS Advanced Planeamento p/ Gestão Srv.Adic.;135
CSONEPROJSA;ON: CS Enterprise Projeto p/ Gestão Srv.Adic.;564
CSONMCGAISAM;ON(m): CS Corporate GenAI Srv.Adic.Mono;3,33
CSDEIMOB21;CS Desktop Enterprise Imobilizado +20 U.A.;141
CSONMCMULTP5P;ON(m): CS Corporate Multilingua p/ POS 1a5 Postos;1,67
CSATDEQUALI5;AT: CS Desktop Enterprise Qualidade 1a5 U.A.;201
CSONDEVENC21;ON: CS Desktop Enterprise Vencimentos +20 U.A.;34
CSATDCVENCUA;AT: CS Desktop Corporate Vencimentos U.A.;37
CSSADEEQUI21;SA: CS Desktop Enterprise Equipa +20 U.A.;37
CSSADEPLANP5;SA: CS Desktop Enterprise Planeamento p/ Gestão 1a5 U.A.;47
CSCCRMSAR;CS Corporate CRM Srv.Adic.Rede;576
CSONMECONTPSA;ON(m): CS Enterprise Controlo p/ Gestão Srv.Adic.;37,42
CSONMAIMOVR;ON(m): CS Advanced Imóveis Rede;46,42
CSADESA;CS Advanced Documentos Eletrónicos Srv.Adic.;361
CSONMCMEDIPM;ON(m): CS Corporate Medição p/ Gestão Mono;30,42
CSSADEQUALI21;SA: CS Desktop Enterprise Qualidade +20 U.A.;37
CSSADESUP5;SA: CS Desktop Enterprise Suporte 1a5 U.A.;206
CSCVENCR;CS Corporate Vencimentos Rede;1383
CSONAPOS1P;ON: CS Advanced POS 1º Posto;121
CSONEMULTR20P;ON: CS Enterprise Multilingua p/ Restauração 11a20 Postos;30
CSONMCCONTR;ON(m): CS Corporate Contabilidade Rede;26,83
CSATEECOP20P;AT: CS Enterprise Ecovalor p/ POS 11a20 Postos;50
CSESHSTR;CS Enterprise SHST Rede;2304
CSONMWACOLAB120;ON(m): CS Web Advanced Colaborador 1a20 U.A.;1,33
CSONMCEDIB;ON(m): CS Corporate EDI Broker;4,83
CSONEGAISA;ON: CS Enterprise GenAI Srv.Adic.;72
CSONDEDOCB20;ON: CS Desktop Enterprise Documentos + BPM 6a20 U.A.;42
CSATDEEQUI5;AT: CS Desktop Enterprise Equipa 1a5 U.A.;205
CSONMEORCAPR;ON(m): CS Enterprise Orçamento p/ Gestão Rede;67,17
CSATDCSUPSTUA;AT: CS Desktop Corporate Suporte + Stocks U.A.;42
CSWEEQPMG21;CS Web Enterprise Equipamento p/ Gestão +20 U.A.;20
CSONAECOPPA;ON: CS Advanced Ecovalor p/ POS Posto;24
CSONMWEDOC5;ON(m): CS Web Enterprise Documentos 1a5 U.A.;5,42
CSONMCSUPSTSAR;ON(m): CS Corporate Suporte + Stocks Srv.Adic.Rede;15,75
