ref;design;Preco_Euros
CSEGREP20P;CS Enterprise Grelhas p/ POS 11a20 Postos;99
CSONMWEECOE;ON(m): CS Web Enterprise Ecovalor Extranet;10,25
CSONMCGAIM;ON(m): CS Corporate GenAI mono;6,75
CSSACPGGLOR;SA: CS Corporate Gabinetes Global Rede;1242
CSWEGES21;CS Web Enterprise Gestão +20 U.A.;297
CSATESINC21P;AT: CS Enterprise Sincro +20 Postos;90
CSAXLPA;CS Advanced XL Posto Adic.;123
CSSACDOCR;SA: CS Corporate Documentos Rede;345
CSEOKRR;CS Enterprise OKR Rede;3359
CSCLOTP5P;CS Corporate Lotes p/ POS 1a5 Postos;234
CSCGESCLR;CS Corporate Gestão Clientes Rede;501
CSONMASERVGSA;ON(m): CS Advanced Serviços Srv.Adic.;6
CSSAWCGAI120;SA: CS Web Corporate GenAI 1a20 U.A.;8
CSATCCONTPM;AT: CS Corporate Controlo p/ Gestão Mono;360
CSCSERVGM;CS Corporate Serviços Mono;483
CSATCGESTER;AT: CS Corporate Gestão Terceiros Rede;864
CSATDEEQPMG5;AT: CS Desktop Enterprise Equipamento p/ Gestão 1a5 U.A.;60
CSONESINC21P;ON: CS Enterprise Sincro +20 Postos;43
CSATAEQPMPPA;AT: CS Advanced Equipamento p/ POS Posto;60
CSATCPROJSAR;AT: CS Corporate Projeto p/ Gestão Srv.Adic.Rede;1056
CSONDECAR21;ON: CS Desktop Enterprise Careers +20 U.A.;34
CSONMDECRM20;ON(m): CS Desktop Enterprise CRM 6a20 U.A.;4,17
CSAECOPPA;CS Advanced Ecovalor p/ POS Posto;99
CSESUPSTR;CS Enterprise Suporte + Stocks Rede;7919
CSONMEGAISA;ON(m): CS Enterprise GenAI Srv.Adic.;6
CSONAVENCR;ON: CS Advanced Vencimentos Rede;749
CSONMCEQUISAM;ON(m): CS Corporate Equipa Srv.Adic.Mono;9,58
CSONMCLOTGM;ON(m): CS Corporate Lotes p/ Gestão Mono;12,75
CSONDEIECAG5;ON: CS Desktop Enterprise IEC Álcool p/ Gestão 1a5 U.A.;29
CSONEDE;ON: CS Enterprise Documentos Eletrónicos;365
CSAINT;CS Advanced Intrastat;1519
CSONMERES21P;ON(m): CS Enterprise Restauração +20 Postos;12,42
CSEGREP21P;CS Enterprise Grelhas p/ POS +20 Postos;82
CSSADELET21;SA: CS Desktop Enterprise Letras +20 U.A.;33
CSATWEEQUI20;AT: CS Web Enterprise Equipa 6a20 U.A.;77
CSATDELOGIG5;AT: CS Desktop Enterprise Logística p/ Gestão 1a5 U.A.;106
CSDESERVG20;CS Desktop Enterprise Serviços 6a20 U.A.;55
CSONMDECONS20;ON(m): CS Desktop Enterprise Consolidação 6a20 U.A.;5,58
CSCPGGLOR;CS Corporate Gabinetes Global Rede;3456
CSESCSA;CS Enterprise Safe Credit Srv.Adic.;168
CSATAMULTPPA;AT: CS Advanced Multilingua p/ POS Posto;60
CSCRGPDRPA;CS Corporate RGPD p/ Restauração Posto;100
CSCPGCRMSAR;CS Corporate Gestão Completo + CRM Comercial Srv.Adic.Rede;1440
CSONMDEPROJ20;ON(m): CS Desktop Enterprise Projeto p/ Gestão 6a20 U.A.;7,17
CSONMCGESTESAM;ON(m): CS Corporate Gestão Terceiros Srv.Adic.Mono;14,42
CSEEQPMP21P;CS Enterprise Equipamento p/ POS +20 Postos;104
CSATMEGREPR;AT: CS Manufactor Executive Grelhas Rede;1200
CSONAEQPMGSA;ON: CS Advanced Equipamento p/ Gestão Srv.Adic.;72
CSATDECONS5;AT: CS Desktop Enterprise Consolidação 1a5 U.A.;280
CSASERVGR;CS Advanced Serviços Rede;596
CSWCEQUIE;CS Web Corporate Equipa Extranet;601
CSONMDAGAI100;ON(m): CS Desktop Advanced GenAI 21a100 U.A.;0,5
CSONMACARSA;ON(m): CS Advanced Careers Srv.Adic.;11,75
CSATEQUADBR;AT: CS Enterprise Qualidade+Documentos+BPM Rede;3233
CSATASINCPA;AT: CS Advanced Sincro Posto;114
CSATACARSA;AT: CS Advanced Careers Srv.Adic.;293
CSAEQUIR;CS Advanced Equipa Rede;2319
CSCEQPMGSAM;CS Corporate Equipamento p/ Gestão Srv.Adic.Mono;242
CSONMDEORCAP5;ON(m): CS Desktop Enterprise Orçamento p/ Gestão 1a5 U.A.;6
CSATDEQUALI21;AT: CS Desktop Enterprise Qualidade +20 U.A.;52
CSATCFAT1P;AT: CS Corporate Faturação 1º Posto;126
CSSACMULT;SA: CS Corporate Multilingua;167
CSCOCUGSAM;CS Corporate Ocupação p/ Gestão Srv.Adic.Mono;320
CSONWCGREE;ON: CS Web Corporate Grelhas Extranet;45
CSONMEMESTS1P;ON(m): CS Enterprise Multi Estação Serviço 1º Posto;12,75
CSSAWESUPE;SA: CS Web Enterprise Suporte Extranet;1077
CSONMCMESTS1P;ON(m): CS Corporate Multi Estação Serviço 1º Posto;10,42
CSATCRGPDRPA;AT: CS Corporate RGPD p/ Restauração Posto;50
CSSAAREVIPR;SA: CS Advanced Revisão de Preços Rede;833
CSONMDEGREG21;ON(m): CS Desktop Enterprise Grelhas p/ Gestão +20 U.A.;0,58
CSATWECRM20;AT: CS Web Enterprise CRM 6a20 U.A.;77
CSATCLOTGSAM;AT: CS Corporate Lotes p/ Gestão Srv.Adic.Mono;160
CSAGESR;CS Advanced Gestão Rede;3966
CSSAWEGAI401;SA: CS Web Enterprise GenAI +400 U.A.;2
CSATCIECAGSAR;AT: CS Corporate IEC Álcool p/ Gestão Srv.Adic.Rede;144
CSONWACAR100;ON: CS Web Advanced Careers 21a100 U.A.;8
CSATETERMR21P;AT: CS Enterprise Terminais p/ Rest. +20 Postos;52
CSONMAGREGR;ON(m): CS Advanced Grelhas p/ Gestão Rede;11,92
CSADEPOS;CS Advanced Documentos Eletrónicos p/ POS;150
CSATDCSERVGUA;AT: CS Desktop Corporate Serviços U.A.;14
CSATDEEQUI21;AT: CS Desktop Enterprise Equipa +20 U.A.;52
CSATCSUPSTM;AT: CS Corporate Suporte + Stocks Mono;656
CSONMCFAT1P;ON(m): CS Corporate Faturação 1º Posto;5
CSONMCCONTM;ON(m): CS Corporate Contabilidade Mono;22,42
CSCECOP5P;CS Corporate Ecovalor p/ POS 1a5 Postos;75
CSSAERES10P;SA: CS Enterprise Restauração 1a10 Postos;348
CSCOBRGM;CS Corporate Obras p/ Gestão Mono;639
CSONMWCGES120;ON(m): CS Web Corporate Gestão 1a20 U.A.;1,75
CSATCLETSAM;AT: CS Corporate Letras Srv.Adic.Mono;160
CSATDCDOCUA;AT: CS Desktop Corporate Documentos U.A.;23
CSESINC10P;CS Enterprise Sincro 1a10 Postos;286
CSSAWEDEN;SA: CS Web Enterprise Denúncias;59
CSATDEGES21;AT: CS Desktop Enterprise Gestão +20 U.A.;202
CSATDCGESCLUA;AT: CS Desktop Corporate Gestão Clientes U.A.;14
CSONWCEDIB;ON: CS Web Corporate EDI Broker;6
CSCCONTM;CS Corporate Contabilidade Mono;1122
CSATWEDOC100;AT: CS Web Enterprise Documentos 21a100 U.A.;36
CSATCOCUGSAM;AT: CS Corporate Ocupação p/ Gestão Srv.Adic.Mono;160
CSATMMMOLR;AT: CS Manufactor Manager Moldes Rede;279
TOGCORBPARTNER;Together Corporate Partner;900
CSEFORNP20P;CS Enterprise Fornecedores p/ POS 11a20 Postos;517
RENOVAGOBP;Renovação Certificação PHC GO Business Partner;50
CSAEQPMGSA;CS Advanced Equipamento p/ Gestão Srv.Adic.;298
CSSAEQUADBR;SA: CS Enterprise Qualidade+Documentos+BPM Rede;2324
CSCDEPOS;CS Corporate Documentos Eletrónicos p/ POS;80
CSSAWECONT5;SA: CS Web Enterprise Contabilidade 1a5 U.A.;149
CSSADCSUPUA;SA: CS Desktop Corporate Suporte U.A.;26
CSONMWCFORME;ON(m): CS Web Corporate Formação Extranet;20
CSONCSUPSAR;ON: CS Corporate Suporte Srv.Adic.Rede;161
CSATDESHST20;AT: CS Desktop Enterprise SHST 6a20 U.A.;53
CSONWESUP21;ON: CS Web Enterprise Suporte +20 U.A.;25
CSCEQUISAR;CS Corporate Equipa Srv.Adic.Rede;576
ICPCORPARTNER;ICP Corporate Partner;135
CSONMCGESSAM;ON(m): CS Corporate Gestão Srv.Adic.Mono;19,17
CSELETR;CS Enterprise Letras Rede;3966
CSATDESHST5;AT: CS Desktop Enterprise SHST 1a5 U.A.;106
CSSAWEEDIB;SA: CS Web Enterprise EDI Broker;34
CSCEQPMGSAR;CS Corporate Equipamento p/ Gestão Srv.Adic.Rede;288
CSONMAOKRR;ON(m): CS Advanced OKR Rede;34,75
CSONMWAFORME;ON(m): CS Web Advanced Formação Extranet;40
CSSADCGESUA;SA: CS Desktop Corporate Gestão U.A.;42
CSONWEGES20;ON: CS Web Enterprise Gestão 6a20 U.A.;144
CSSADALETUA;SA: CS Desktop Advanced Letras U.A.;57
CSONMEDESA;ON(m): CS Enterprise Documentos Eletrónicos Srv.Adic.;9,17
CSATCOCUGM;AT: CS Corporate Ocupação p/ Gestão Mono;320
CSATAEQUIR;AT: CS Advanced Equipa Rede;1160
CSONMARGPDRPA;ON(m): CS Advanced RGPD p/ Restauração Posto;3,75
CSONEPLANPSA;ON: CS Enterprise Planeamento p/ Gestão Srv.Adic.;104
CSAPROJSA;CS Advanced Projeto p/ Gestão Srv.Adic.;3040
CSMMTOUUA;CS Manufactor Manager Touch U.A.;52
CSATASHSTR;AT: CS Advanced SHST Rede;441
CSONMELETSA;ON(m): CS Enterprise Letras Srv.Adic.;23,83
CSONMDCPLANPUA;ON(m): CS Desktop Corporate Planeamento p/ Gestão U.A.;0,83
CSONMEMULT;ON(m): CS Enterprise Multilingua;25,17
CSSAWADOC100;SA: CS Web Advanced Documentos 21a100 U.A.;21
CSATAGREPPA;AT: CS Advanced Grelhas p/ POS Posto;50
CSSAWCDOCE;SA: CS Web Corporate Documentos Extranet;179
CSONCOBRGSAM;ON: CS Corporate Obras p/ Gestão Srv.Adic.Mono;77
CSEEQPMP10P;CS Enterprise Equipamento p/ POS 1a10 Postos;158
CSATMMPLAUA;AT: CS Manufactor Manager Planning U.A.;103
CSONMWADOC100;ON(m): CS Web Advanced Documentos 21a100 U.A.;1,17
CSAIMOBSA;CS Advanced Imobilizado Srv.Adic.;1560
CSONMDEIMOB20;ON(m): CS Desktop Enterprise Imobilizado 6a20 U.A.;5,67
CSONDCOBRGUA;ON: CS Desktop Corporate Obras p/ Gestão U.A.;8
CSESMS;CS Enterprise SMS;483
CSONMEFORNP21P;ON(m): CS Enterprise Fornecedores p/ POS +20 Postos;8,25
CSONMWEECOG5;ON(m): CS Web Enterprise Ecovalor p/ Gestão 1a5 U.A.;1,83
CSONMAIMOBR;ON(m): CS Advanced Imobilizado Rede;62,42
CSATWEDOC5;AT: CS Web Enterprise Documentos 1a5 U.A.;135
CSONMEMOLUA;ON: CS Manufactor Executive Moldes U.A.;38
CSDCCRMUA;CS Desktop Corporate CRM U.A.;54
CSACARSA;CS Advanced Careers Srv.Adic.;586
CSATWCDOC120;AT: CS Web Corporate Documentos 1a20 U.A.;16
CSONCGESTER;ON: CS Corporate Gestão Terceiros Rede;415
CSSADAGREGUA;SA: CS Desktop Advanced Grelhas p/ Gestão U.A.;14
CSWERECRU21;CS Web Enterprise Recrutamento +20 U.A.;147
CSONCSERVGM;ON: CS Corporate Serviços Mono;116
CSSADEPLANP20;SA: CS Desktop Enterprise Planeamento p/ Gestão 6a20 U.A.;21
CSONDESUP21;ON: CS Desktop Enterprise Suporte +20 U.A.;34
CSONMDCOCUGUA;ON(m): CS Desktop Corporate Ocupação p/ Gestão U.A.;0,67
CSEMEDIPSA;CS Enterprise Medição p/ Gestão Srv.Adic.;1008
CSONMEOBRGSA;ON(m): CS Enterprise Obras p/ Gestão Srv.Adic.;8
CSONMAMEDIPSA;ON(m): CS Advanced Medição p/ Gestão Srv.Adic.;23,17
CSATWERGPD;AT: CS Web Enterprise RGPD;82
CSATMEPLATI;AT: CS Manufactor Executive Platform Intranet;91
CSONDEGREG5;ON: CS Desktop Enterprise Grelhas p/ Gestão 1a5 U.A.;29
CSWEEB2BIUA;CS Web Enterprise E-Commerce B2B Intranet U.A.;398
CSONWCGES120;ON: CS Web Corporate Gestão 1a20 U.A.;21
CSEIMOBSA;CS Enterprise Imobilizado Srv.Adic.;1871
CSONEPOS20P;ON: CS Enterprise POS 11a20 Postos;186
CSSADEQUADB20;SA: CS Desktop Enterprise Qualidade+Documentos+BPM 6a20 U.A.;104
CSSACDE;SA: CS Corporate Documentos Eletrónicos;143
CSONMDEGAI20;ON(m): CS Desktop Enterprise GenAI 6a20 U.A.;1,42
CSATDACONSUA;AT: CS Desktop Advanced Consolidação U.A.;223
CSSADCIMOVUA;SA: CS Desktop Corporate Imóveis U.A.;16
CSONMCLETSAR;ON(m): CS Corporate Letras Srv.Adic.Rede;7,67
