ref;design;Preco_Euros
CSSACPGSR;SA: CS Corporate Gestão Completo + Suporte Rede;995
CSONDEGREG21;ON: CS Desktop Enterprise Grelhas p/ Gestão +20 U.A.;5
CSONMDEORCAP20;ON(m): CS Desktop Enterprise Orçamento p/ Gestão 6a20 U.A.;2,17
CSAIMOVSA;CS Advanced Imóveis Srv.Adic.;1104
CSATAFORMSA;AT: CS Advanced Formação Srv.Adic.;552
CSATDECONT5;AT: CS Desktop Enterprise Contabilidade 1a5 U.A.;271
CSONCMESTS1P;ON: CS Corporate Multi Estação Serviço 1º Posto;91
CSDCEQUIUA;CS Desktop Corporate Equipa U.A.;51
CSSAWEDOC401;SA: CS Web Enterprise Documentos +400 U.A.;4
CSSAWCEB2C;SA: CS Web Corporate E-Commerce B2C;404
CSATDEECOG21;AT: CS Desktop Enterprise Ecovalor p/ Gestão +20 U.A.;14
CSCPGLOWUA;CS Web Corporate Global Web U.A.;222
CSONACLISA;ON: CS Advanced Clínica Srv.Adic.;204
CSONDAGAI120;ON: CS Desktop Advanced GenAI 1a20 U.A.;9
CSONMAIMOBR;ON(m): CS Advanced Imobilizado Rede;45,75
CSDCGESTEUA;CS Desktop Corporate Gestão Terceiros U.A.;85
CSONCFORNR5P;ON: CS Corporate Fornecedores p/ Rest. 2a5 Postos;68
CSWEGREG21;CS Web Enterprise Grelhas p/ Gestão +20 U.A.;19
CSDASHSTUA;CS Desktop Advanced SHST U.A.;53
CSONDEGAI5;ON: CS Desktop Enterprise GenAI 1a5 U.A.;16
CSDCGESCLUA;CS Desktop Corporate Gestão Clientes U.A.;26
CSONMESCSA;ON(m): CS Enterprise Safe Credit Srv.Adic.;2,5
CSONEMULTR10P;ON: CS Enterprise Multilingua p/ Restauração 1a10 Postos;28
CSAOBRGR;CS Advanced Obras p/ Gestão Rede;1840
CSONMMMOLR;ON: CS Manufactor Manager Moldes Rede;98
CSONMCLOTGSAR;ON(m): CS Corporate Lotes p/ Gestão Srv.Adic.Rede;5,67
CSATCRGPDRPA;AT: CS Corporate RGPD p/ Restauração Posto;48
CSONMAFORMSA;ON(m): CS Advanced Formação Srv.Adic.;17
CSCIMOVR;CS Corporate Imóveis Rede;914
CSSADCPLANPUA;SA: CS Desktop Corporate Planeamento p/ Gestão U.A.;13
CSONCEQUIM;ON: CS Corporate Equipa Mono;169
CSONMDECONT5;ON(m): CS Desktop Enterprise Contabilidade 1a5 U.A.;8,33
CSSAWEIMOB20;SA: CS Web Enterprise Imobilizado 6a20 U.A.;61
CSONEINT;ON: CS Enterprise Intrastat;564
CSATADOCBR;AT: CS Advanced Documentos + BPM Rede;1104
CSDESERVG20;CS Desktop Enterprise Serviços 6a20 U.A.;52
CSSADCFORMUA;SA: CS Desktop Corporate Formação U.A.;28
CSONMAINTSA;ON(m): CS Advanced Intrastat Srv.Adic.;11,17
CSONMWEEQUI20;ON(m): CS Web Enterprise Equipa 6a20 U.A.;2,25
CSSACGREGR;SA: CS Corporate Grelhas p/ Gestão Rede;181
CSEDOCBSA;CS Enterprise Documentos + BPM Srv.Adic.;1133
CSAGREGR;CS Advanced Grelhas p/ Gestão Rede;567
CSATCLOTGM;AT: CS Corporate Lotes p/ Gestão Mono;305
CSSACOCUGM;SA: CS Corporate Ocupação p/ Gestão Mono;201
CSATWCECOE;AT: CS Web Corporate Ecovalor Extranet;89
CSONATERMPSA;ON: CS Advanced Terminais Portáteis Srv.Adic.;134
CSATEOCUGR;AT: CS Enterprise Ocupação p/ Gestão Rede;1371
CSCREVIPM;CS Corporate Revisão de Preços Mono;1446
CSSAWADEN;SA: CS Web Advanced Denúncias;15
CSONCGESSAM;ON: CS Corporate Gestão Srv.Adic.Mono;169
CSSAESINC21P;SA: CS Enterprise Sincro +20 Postos;56
CSONMCGAISAM;ON(m): CS Corporate GenAI Srv.Adic.Mono;2,5
CSATWEFORM21;AT: CS Web Enterprise Formação +20 U.A.;51
CSONDCORCAPUA;ON: CS Desktop Corporate Orçamento p/ Gestão U.A.;17
CSAFORNPPA;CS Advanced Fornecedores p/ POS Posto;504
CSONMMMMOLR;ON(m): CS Manufactor Manager Moldes Rede;8,17
CSSAWEEQUI20;SA: CS Web Enterprise Equipa 6a20 U.A.;48
CSSAMMPLATIUA;SA: CS Manufactor Manager Platform Intranet U.A.;3
CSONWCEQUI120;ON: CS Web Corporate Equipa 1a20 U.A.;7
CSONEEQUISA;ON: CS Enterprise Equipa Srv.Adic.;237
CSONMCORCAPM;ON(m): CS Corporate Orçamento p/ Gestão Mono;22,33
CSSACLETM;SA: CS Corporate Letras Mono;201
CSSADELET20;SA: CS Desktop Enterprise Letras 6a20 U.A.;54
CSONDAGESUA;ON: CS Desktop Advanced Gestão U.A.;49
CSDEFORM21;CS Desktop Enterprise Formação +20 U.A.;136
CSONMDESUP20;ON(m): CS Desktop Enterprise Suporte 6a20 U.A.;4,25
CSONMCIMOVR;ON(m): CS Corporate Imóveis Rede;14,08
CSSAARGPDPPA;SA: CS Advanced RGPD p/ POS Posto;59
CSATDEPROJ20;AT: CS Desktop Enterprise Projeto p/ Gestão 6a20 U.A.;170
CSSADCGESTEUA;SA: CS Desktop Corporate Gestão Terceiros U.A.;28
CSSAWECOLAB400;SA: CS Web Enterprise Colaborador 101a400 U.A.;5
CSONMCRGPDRPA;ON(m): CS Corporate RGPD p/ Restauração Posto;1,5
CSERES21P;CS Enterprise Restauração +20 Postos;614
CSCPGGLOSAM;CS Corporate Gabinetes Global Srv.Adic.Mono;1371
CSATDCVENCUA;AT: CS Desktop Corporate Vencimentos U.A.;35
CSONMEOCUGR;ON(m): CS Enterprise Ocupação p/ Gestão Rede;42,25
CSONAGESR;ON: CS Advanced Gestão Rede;699
CSEFORNP10P;CS Enterprise Fornecedores p/ POS 1a10 Postos;639
CSATCVENCSAM;AT: CS Corporate Vencimentos Srv.Adic.Mono;275
CSSADESUPST21;SA: CS Desktop Enterprise Suporte + Stocks +20 U.A.;55
CSATMMMRPR;AT: CS Manufactor Manager MRP Rede;723
CSONCFORNP1P;ON: CS Corporate Fornecedores p/ POS 1º Posto;55
CSONARGPDRPA;ON: CS Advanced RGPD p/ Restauração Posto;33
CSCCON;CS Corporate Conector;1142
CSATDECONS5;AT: CS Desktop Enterprise Consolidação 1a5 U.A.;267
CSSAAMEDIPR;SA: CS Advanced Medição p/ Gestão Rede;729
CSONMDEFORM21;ON(m): CS Desktop Enterprise Formação +20 U.A.;2,08
CSDECONTP5;CS Desktop Enterprise Controlo p/ Gestão 1a5 U.A.;124
CSATWEGES5;AT: CS Web Enterprise Gestão 1a5 U.A.;572
CSONEECOGSA;ON: CS Enterprise Ecovalor p/ Gestão Srv.Adic.;70
CSATWEECOE;AT: CS Web Enterprise Ecovalor Extranet;245
CSONCRGPDPPA;ON: CS Corporate RGPD p/ POS Posto;18
CSONESUPSA;ON: CS Enterprise Suporte Srv.Adic.;334
CSWEGAI100;CS Web Enterprise GenAI 21a100 U.A.;35
CSDCCLIUA;CS Desktop Corporate Clínica U.A.;69
CSSAETERMR10P;SA: CS Enterprise Terminais p/ Rest. 1a10 Postos;50
CSAIMOVR;CS Advanced Imóveis Rede;2208
CSONCCRMSAM;ON: CS Corporate CRM Srv.Adic.Mono;85
CSONAEQPMGSA;ON: CS Advanced Equipamento p/ Gestão Srv.Adic.;53
CSATCMEDIPR;AT: CS Corporate Medição p/ Gestão Rede;869
CSONAFROTR;ON: CS Advanced Frota Rede;408
CSSAWEDOCE;SA: CS Web Enterprise Documentos Extranet;517
CSONMWEGREG5;ON(m): CS Web Enterprise Grelhas p/ Gestão 1a5 U.A.;1,33
CSSADEEQUI5;SA: CS Desktop Enterprise Equipa 1a5 U.A.;128
CSONMEPLANPSA;ON(m): CS Enterprise Planeamento p/ Gestão Srv.Adic.;6,33
CSCCONTM;CS Corporate Contabilidade Mono;1068
CSSADAGESUA;SA: CS Desktop Advanced Gestão U.A.;88
CSONCPLANPM;ON: CS Corporate Planeamento p/ Gestão Mono;127
CSONCDESA;ON: CS Corporate Documentos Eletrónicos Srv.Adic.;35
CSATCMULTR5P;AT: CS Corporate Multilingua p/ Restauração 1a5 Postos;40
CSONDELOGIG20;ON: CS Desktop Enterprise Logística p/ Gestão 6a20 U.A.;19
CSONMDCSUPUA;ON(m): CS Desktop Corporate Suporte U.A.;1,08
CSONMAEQUIR;ON(m): CS Advanced Equipa Rede;34
CSSADEPLANP5;SA: CS Desktop Enterprise Planeamento p/ Gestão 1a5 U.A.;41
CSATATERMP;AT: CS Advanced Terminais Portáteis;723
CSONMEIMOBR;ON(m): CS Enterprise Imobilizado Rede;91,58
CSONMCVENCSAM;ON(m): CS Corporate Vencimentos Srv.Adic.Mono;8,5
CSONMDCLETUA;ON(m): CS Desktop Corporate Letras U.A.;0,5
CSATEORCAPR;AT: CS Enterprise Orçamento p/ Gestão Rede;1599
CSSADAIMOVUA;SA: CS Desktop Advanced Imóveis U.A.;50
CSONMERES10P;ON(m): CS Enterprise Restauração 1a10 Postos;14,75
CSSADCSERVGUA;SA: CS Desktop Corporate Serviços U.A.;9
CSONMDAIECAGUA;ON(m): CS Desktop Advanced IEC Álcool p/ Gestão U.A.;0,58
CSDECRM20;CS Desktop Enterprise CRM 6a20 U.A.;199
CSONDESUPST21;ON: CS Desktop Enterprise Suporte + Stocks +20 U.A.;31
CSSACSUPSTM;SA: CS Corporate Suporte + Stocks Mono;412
CSATWEDOC401;AT: CS Web Enterprise Documentos +400 U.A.;6
CSONMDEIMOB21;ON(m): CS Desktop Enterprise Imobilizado +20 U.A.;2,08
CSSAECARR;SA: CS Enterprise Careers Rede;735
CSSADEPROJ20;SA: CS Desktop Enterprise Projeto p/ Gestão 6a20 U.A.;112
CSATWEFORM20;AT: CS Web Enterprise Formação 6a20 U.A.;102
CSONDEVENC20;ON: CS Desktop Enterprise Vencimentos 6a20 U.A.;50
CSONCSUPSTM;ON: CS Corporate Suporte + Stocks Mono;231
CSONMMMPLATUA;ON(m): CS Manufactor Manager Platform U.A.;5,58
CSONMALOGIGSA;ON(m): CS Advanced Logística p/ Gestão Srv.Adic.;14,58
CSSAWADEINT;SA: CS Web Advanced Documentos Eletrónicos Intranet;15
CSONDEIMOB21;ON: CS Desktop Enterprise Imobilizado +20 U.A.;25
CSATDASUPSTUA;AT: CS Desktop Advanced Suporte + Stocks U.A.;107
CSONEEQPMGSA;ON: CS Enterprise Equipamento p/ Gestão Srv.Adic.;70
CSSACREVIPR;SA: CS Corporate Revisão de Preços Rede;573
CSONMWEEDIB;ON(m): CS Web Enterprise EDI Broker;1,33
CSONMDELOGIG21;ON(m): CS Desktop Enterprise Logística p/ Gestão +20 U.A.;0,67
CSONMDEDOCB21;ON(m): CS Desktop Enterprise Documentos + BPM +20 U.A.;1,33
CSATDEREVIP20;AT: CS Desktop Enterprise Revisão de Preços 6a20 U.A.;65
CSCGESTEM;CS Corporate Gestão Terceiros Mono;1372
CSSAWAEB2C;SA: CS Web Advanced E-Commerce B2C;809
CSCSERVGR;CS Corporate Serviços Rede;548
CSONMCREVIPR;ON(m): CS Corporate Revisão de Preços Rede;26,75
CSATALETSA;AT: CS Advanced Letras Srv.Adic.;552
CSATWALOTGUA;AT: CS Web Advanced Lotes p/ Gestão U.A.;49
CSONERGPD;ON: CS Enterprise RGPD;268
CSATEIECAGSA;AT: CS Enterprise IEC Álcool p/ Gestão Srv.Adic.;190
CSATEFROTR;AT: CS Enterprise Frota Rede;2132
CSONMEPLAUA;ON: CS Manufactor Executive Planning U.A.;113
CSONCFAT1P;ON: CS Corporate Faturação 1º Posto;46
CSONALETSA;ON: CS Advanced Letras Srv.Adic.;204
CSONEIECAP20P;ON: CS Enterprise IEC Álcool p/ POS 11a20 Postos;17
CSONMMEPLATUA;ON(m): CS Manufactor Executive Platform U.A.;13,92
CSONMACONSSA;ON(m): CS Advanced Consolidação Srv.Adic.;47
CSONMCFORMR;ON(m): CS Corporate Formação Rede;25,33
CSSAWEDEEXT;SA: CS Web Enterprise Documentos Eletrónicos Extranet;235
CSERES10P;CS Enterprise Restauração 1a10 Postos;958
CSONMCCONTPM;ON(m): CS Corporate Controlo p/ Gestão Mono;10,58
CSONETERMP;ON: CS Enterprise Terminais Portáteis;564
CSSADELET21;SA: CS Desktop Enterprise Letras +20 U.A.;29
CSATMEMOLR;AT: CS Manufactor Executive Moldes Rede;762
CSATEGREGR;AT: CS Enterprise Grelhas p/ Gestão Rede;632
CSATAGESSA;AT: CS Advanced Gestão Srv.Adic.;944
CSONMCFAT3P;ON(m): CS Corporate Faturação 2a3 Postos;5,42
CSONDCECOGUA;ON: CS Desktop Corporate Ecovalor p/ Gestão U.A.;5
CSAPROJSA;CS Advanced Projeto p/ Gestão Srv.Adic.;2894
CSONDEEQPMG20;ON: CS Desktop Enterprise Equipamento p/ Gestão 6a20 U.A.;10
CSEOCUGSA;CS Enterprise Ocupação p/ Gestão Srv.Adic.;822
CSATCDEPOS;AT: CS Corporate Documentos Eletrónicos p/ POS;40
CSCEQUISAM;CS Corporate Equipa Srv.Adic.Mono;457
CSEFROTR;CS Enterprise Frota Rede;4264
CSWCCRM120;CS Web Corporate CRM 1a20 U.A.;37
CSATWEEQUI20;AT: CS Web Enterprise Equipa 6a20 U.A.;73
CSONAECOGR;ON: CS Advanced Ecovalor p/ Gestão Rede;105
CSATECONSSA;AT: CS Enterprise Consolidação Srv.Adic.;891
CSONDESHST20;ON: CS Desktop Enterprise SHST 6a20 U.A.;19
CSATCSMS;AT: CS Corporate SMS;152
CSONDESUPST5;ON: CS Desktop Enterprise Suporte + Stocks 1a5 U.A.;127
CSONECLISA;ON: CS Enterprise Clínica Srv.Adic.;237
CSONAFROTSA;ON: CS Advanced Frota Srv.Adic.;204
CSAEDIB;CS Advanced EDI Broker;399
CSSAAREVIPR;SA: CS Advanced Revisão de Preços Rede;729
CSCCRMM;CS Corporate CRM Mono;914
CSCXL1P;CS Corporate XL 1º Posto;379
CSONMEFORNR10P;ON(m): CS Enterprise Fornecedores p/ Rest. 1a10 Postos;9,83
CSONMWCLOTG120;ON(m): CS Web Corporate Lotes p/ Gestão 1a20 U.A.;0,42
CSCDOCSAM;CS Corporate Documentos Srv.Adic.Mono;380
CSATMEGREPR;AT: CS Manufactor Executive Grelhas Rede;1142
CSONMWCFORME;ON(m): CS Web Corporate Formação Extranet;14,67
CSATMMTOUUA;AT: CS Manufactor Manager Touch U.A.;25
CSSADEPROJ21;SA: CS Desktop Enterprise Projeto p/ Gestão +20 U.A.;54
CSCEDIB;CS Corporate EDI Broker;232
CSCEDIBSA;CS Corporate EDI Broker Srv.Adic.;116
CSWCEDIB;CS Web Corporate EDI Broker;26
CSONCEDIB;ON: CS Corporate EDI Broker;43
CSONCEDIBSA;ON: CS Corporate EDI Broker Srv.Adic.;21
CSONWCEDIB;ON: CS Web Corporate EDI Broker;5
CSONMCEDIB;ON(m): CS Corporate EDI Broker;3,58
CSONMCEDIBSA;ON(m): CS Corporate EDI Broker Srv.Adic.;1,75
CSONMWCEDIB;ON(m): CS Web Corporate EDI Broker;0,42
CSSACEDIB;SA: CS Corporate EDI Broker;77
CSSAWCEDIB;SA: CS Web Corporate EDI Broker;9
TOGCORBPARTNER;Together Corporate Partner;900
TOGCORGOPARTNER;Together Corporate & GO Partner;900
TOGADVBPARTNER;Together Advanced Partner;1200
TOGADVGOPARTNER;Together Advanced & GO Partner;1200
TOGENTBPARTNER;Together Enterprise Partner;1800
TOGENTGOPARTNER;Together Enterprise & GO Partner;1800
PRIADVPARTNER;Advanced Prime Partner;2400
PRIADVGOPARTNER;Advanced Prime & GO Partner;2400
PRIENTPARTNER;Enterprise Prime Partner;3600
PRIENTGOPARTNER;Enterprise Prime & GO Partner;3600
TOGCORBPARTNERUA;Together Corporate Partner - Utilizador Adicional;30
TOGADVBPARTNERUA;Together Advanced Partner - Utilizador Adicional;45
TOGENTBPARTNERUA;Together Enterprise Partner - Utilizador Adicional;55
TOGWEBPARTNERUA;Together Partner - Utilizador Adicional WEB;35
ICPCORPARTNER;ICP Corporate Partner;135
ICPADVPARTNER;ICP Advanced Partner;180
ICPENTPARTNER;ICP Enterprise Partner;270
NSFTCAUSB;Ficha de Técnico Certificado Anual ( USB );86
NSFTCAR;Ficha de Técnico Certificado Anual-Renovação;43
NSFTCSUSB;Ficha de Técnico Certificado Semestral ( USB );43
ENTFEPASP;Ficha Enterprise Partner Anual ( USB );86
ENTFEPAR;Ficha Enterprise Partner Anual-Renovação;43
ENTFEPSSP;Ficha Enterprise Partner Semestral (USB );43
NSFMANPA;Ficha Manufactor Partner Anual;86
NSFMANPR;Ficha Manufactor Partner Renovação;43
NSFMANPS;Ficha Manufactor Partner Semestral;43
CO01;Nova Ficha Monoutilizador por Substituição;58
CO 02;Nova Ficha de Rede por Substituição;173
USBTROCA;Troca de Ficha USB por Paralela ou vice-versa;50
CSEESNR;CS Enterprise Licença de Ensino Rede;320
CSAESNR;CS Advanced Licença de Ensino Rede;320
FRESERVAM;Ficha de Reserva Monoutilizador;58
FRESERVAR;Ficha de Reserva Rede;173
NSALTINTERNET;Alteração para proteção por internet;86
NSALTCONFIG;Alteração configuração software entre servidores/fichas;173
NSALTRESERVAMONO;Alteração configuração ficha de reserva Mono;58
NSALTRESERVAREDE;Alteração configuração ficha de reserva Rede;173
NSALT;Alteração de Licenciamento;70
NSCD;Novo CD de Instalação;50
NSASQALT;Serviço de Alteração de Assinaturas Qualificadas;29
NSGESTCONTA;Serviços administrativos de gestão de conta corrente;53
NSGESTDEV;Serviços de gestão documental;27
NSTAXADM;Taxa administrativa de gestão documental;29
NSENCOMENDA;Entrega e gestão de encomendas;8
NSDEVENCOMENDA;Gestão de devolução de encomendas;12
NSTEMPCODBAR;Template Codigos Barras (Gestão);373
NSPCK10PONTSUP;Pack de 10 Pontos de Suporte;117
CSSAWCCRM120;SA: CS Web Corporate CRM 1a20 U.A.;12
CSATCFAT3P;AT: CS Corporate Faturação 2a3 Postos;175
CSSAAMESTS1P;SA: CS Advanced MultiEstação Serviço 1º Posto;163
CSSAWCLOTG120;SA: CS Web Corporate Lotes p/ Gestão 1a20 U.A.;9
CSDCVENCUA;CS Desktop Corporate Vencimentos U.A.;70
CSEORCAPR;CS Enterprise Orçamento p/ Gestão Rede;3198
CSONCMULT;ON: CS Corporate Multilingua;82
CSONDAEQUIUA;ON: CS Desktop Advanced Equipa U.A.;28
CSATEEQUISA;AT: CS Enterprise Equipa Srv.Adic.;640
CSONMCCRMR;ON(m): CS Corporate CRM Rede;16,92
CSONMWEFORM20;ON(m): CS Web Enterprise Formação 6a20 U.A.;3,17
CSSADCECOGUA;SA: CS Desktop Corporate Ecovalor p/ Gestão U.A.;9
CSSACEQPMGR;SA: CS Corporate Equipamento p/ Gestão Rede;181
CSMEPLATI;CS Manufactor Executive Platform Intranet;173
CSCSUPSAR;CS Corporate Suporte Srv.Adic.Rede;640
CSATAORCAPSA;AT: CS Advanced Orçamento p/ Gestão Srv.Adic.;552
CSONMCPROJR;ON(m): CS Corporate Projeto p/ Gestão Rede;62
CSSACRGPDRPA;SA: CS Corporate RGPD p/ Restauração Posto;31
CSSAWECOLAB5;SA: CS Web Enterprise Colaborador 1a5 U.A.;39
CSATCLETM;AT: CS Corporate Letras Mono;305
CSONDEMEDIP21;ON: CS Desktop Enterprise Medição p/ Gestão +20 U.A.;14
CSSACSERVGR;SA: CS Corporate Serviços Rede;181
CSONELETR;ON: CS Enterprise Letras Rede;699
CSONMEORCAPSA;ON(m): CS Enterprise Orçamento p/ Gestão Srv.Adic.;14,75
CSSADESC21;SA: CS Desktop Enterprise Safe Credit +20 U.A.;6
CSCDOCR;CS Corporate Documentos Rede;914
CSONCDERES;ON: CS Corporate Documentos Eletrónicos p/ Restauração;15
CSONCGESTEM;ON: CS Corporate Gestão Terceiros Mono;254
CSSACIMOVR;SA: CS Corporate Imóveis Rede;302
CSATAOBRGR;AT: CS Advanced Obras p/ Gestão Rede;920
CSDESUP5;CS Desktop Enterprise Suporte 1a5 U.A.;546
CSONETERMR21P;ON: CS Enterprise Terminais p/ Rest. +20 Postos;18
CSONMWERECRU5;ON(m): CS Web Enterprise Recrutamento 1a5 U.A.;4,42
CSSAWEGREG21;SA: CS Web Enterprise Grelhas p/ Gestão +20 U.A.;6
CSATCMULTSA;AT: CS Corporate Multilingua Srv.Adic.;110
CSATEFORNP21P;AT: CS Enterprise Fornecedores p/ POS +20 Postos;205
CSONMAXL1P;ON(m): CS Advanced XL 1º Posto;9,5
CSATDEFROT5;AT: CS Desktop Enterprise Frota 1a5 U.A.;191
CSONMMEPLATIUA;ON(m): CS Manufactor Executive Platform Intranet U.A.;0,25
CSONAINT;ON: CS Advanced Intrastat;268
CSATDECAR5;AT: CS Desktop Enterprise Careers 1a5 U.A.;271
CSONDAMEDIPUA;ON: CS Desktop Advanced Medição p/ Gestão U.A.;28
CSONEXLPA;ON: CS Enterprise XL Posto Adic.;29
CSATCSERVGSAM;AT: CS Corporate Serviços Srv.Adic.Mono;115
CSATCGESTESAR;AT: CS Corporate Gestão Terceiros Srv.Adic.Rede;412
CSONCGAISAR;ON: CS Corporate GenAI Srv.Adic.Rede;36
CSONDCOCUGUA;ON: CS Desktop Corporate Ocupação p/ Gestão U.A.;6
CSATEGREP10P;AT: CS Enterprise Grelhas p/ POS 1a10 Postos;57
CSSAWEOKR400;SA: CS Web Enterprise OKR 101a400 U.A.;8
CSONMAXLPA;ON(m): CS Advanced XL Posto Adic.;1,83
CSATDEORCAP20;AT: CS Desktop Enterprise Orçamento p/ Gestão 6a20 U.A.;71
CSATWESUPE;AT: CS Web Enterprise Suporte Extranet;1426
CSONADE;ON: CS Advanced Documentos Eletrónicos;127
CSONMCGREGR;ON(m): CS Corporate Grelhas p/ Gestão Rede;8,42
CSSADECRM5;SA: CS Desktop Enterprise CRM 1a5 U.A.;128
CSATESMS;AT: CS Enterprise SMS;230
CSEQUALISA;CS Enterprise Qualidade Srv.Adic.;1279
CSONMMEPLATSA;ON(m): CS Manufactor Executive Platform Srv.Adic.;69,5
CERTIFGENAI;Certificação PHC CS GenAI;100
CSONMCECOGSAR;ON(m): CS Corporate Ecovalor p/ Gestão Srv.Adic.Rede;4,25
CSONMCCRMM;ON(m): CS Corporate CRM Mono;14,08
CSONACRMR;ON: CS Advanced CRM Rede;408
CSAPGLOW;CS Web Advanced Global Web;10082
CSSAWECONT20;SA: CS Web Enterprise Contabilidade 6a20 U.A.;66
CSWERECRU20;CS Web Enterprise Recrutamento 6a20 U.A.;200
CSDEDOCB21;CS Desktop Enterprise Documentos + BPM +20 U.A.;89
CSONMDEREVIP20;ON(m): CS Desktop Enterprise Revisão de Preços 6a20 U.A.;2
CSONCSUPM;ON: CS Corporate Suporte Mono;198
CSONMEMEDIPR;ON(m): CS Enterprise Medição p/ Gestão Rede;49,33
CSATACLIR;AT: CS Advanced Clínica Rede;1104
CSMMTOUR;CS Manufactor Manager Touch Rede;531
CSSAAPGLOR;SA: CS Advanced Global Rede;3751
CSCCONTR;CS Corporate Contabilidade Rede;1279
CSATACONSR;AT: CS Advanced Consolidação Rede;3046
CSATEFORNR21P;AT: CS Enterprise Fornecedores p/ Rest. +20 Postos;205
CSWEEB2C;CS Web Enterprise E-Commerce B2C;4292
CSATELETSA;AT: CS Enterprise Letras Srv.Adic.;567
CSONMWEGES21;ON(m): CS Web Enterprise Gestão +20 U.A.;4,33
CSONCIMOVSAR;ON: CS Corporate Imóveis Srv.Adic.Rede;85
CSWEGES5;CS Web Enterprise Gestão 1a5 U.A.;1143
NSFILESTORAGEBCK;Fornecimento de cópia de Segurança File Storage (Backup);180
CSONCESTS;ON: CS Corporate Estações de Serviço;113
CSATEXLPA;AT: CS Enterprise XL Posto Adic.;79
CSSAABEN;SA: CS Web Advanced Benefits;266
CSSAAIMOBR;SA: CS Advanced Imobilizado Rede;980
CSONDELET5;ON: CS Desktop Enterprise Letras 1a5 U.A.;63
CSATWCGEB2C;AT: CS Web Corporate Grelhas p/ E-Commerce B2C;89
CSONCSERVGM;ON: CS Corporate Serviços Mono;85
CSSAACONSR;SA: CS Advanced Consolidação Rede;2010
CSONCORCAPM;ON: CS Corporate Orçamento p/ Gestão Mono;268
CSONAGAISA;ON: CS Advanced GenAI Srv.Adic.;49
CSSADACONTPUA;SA: CS Desktop Advanced Controlo p/ Gestão U.A.;26
CSSAWAEQPMGUA;SA: CS Web Advanced Equipamento p/ Gestão U.A.;9
CSESMS;CS Enterprise SMS;460
CSWESUPE;CS Web Enterprise Suporte Extranet;2852
CSWACAR100;CS Web Advanced Careers 21a100 U.A.;32
CSATACONTPSA;AT: CS Advanced Controlo p/ Gestão Srv.Adic.;743
CSMMLOTUA;CS Manufactor Manager Lotes U.A.;49
CSAPOS1P;CS Advanced POS 1º Posto;499
CSATCCON;AT: CS Corporate Conector;571
CSCCONTSAM;CS Corporate Contabilidade Srv.Adic.Mono;534
CSONCOBRGM;ON: CS Corporate Obras p/ Gestão Mono;113
CSONMEMULTR20P;ON(m): CS Enterprise Multilingua p/ Restauração 11a20 Postos;1,83
CSONCCONTSAM;ON: CS Corporate Contabilidade Srv.Adic.Mono;99
CSONDCEQPMGUA;ON: CS Desktop Corporate Equipamento p/ Gestão U.A.;5
CSSAACLIR;SA: CS Advanced Clínica Rede;729
CSALOGIGSA;CS Advanced Logística p/ Gestão Srv.Adic.;944
CSONMAFROTR;ON(m): CS Advanced Frota Rede;34
CSSACPROJM;SA: CS Corporate Projeto p/ Gestão Mono;1106
CSONMESMS;ON(m): CS Enterprise SMS;7,08
CSONMDCIECAGUA;ON(m): CS Desktop Corporate IEC Álcool p/ Gestão U.A.;0,42
CSATALOTGR;AT: CS Advanced Lotes p/ Gestão Rede;920
CSATDEGREG5;AT: CS Desktop Enterprise Grelhas p/ Gestão 1a5 U.A.;58
CSONWALOTGUA;ON: CS Web Advanced Lotes p/ Gestão U.A.;18
CSATCIECAGSAM;AT: CS Corporate IEC Álcool p/ Gestão Srv.Adic.Mono;115
CSONDEFROT21;ON: CS Desktop Enterprise Frota +20 U.A.;18
CSONMDEMEDIP20;ON(m): CS Desktop Enterprise Medição p/ Gestão 6a20 U.A.;2,17
CSATWECOLAB100;AT: CS Web Enterprise Colaborador 21a100 U.A.;31
CSONMMMRPR;ON: CS Manufactor Manager MRP Rede;268
CSSAWAFORME;SA: CS Web Advanced Formação Extranet;628
CSATEFORNR10P;AT: CS Enterprise Fornecedores p/ Rest. 1a10 Postos;320
CSATDELOGIG21;AT: CS Desktop Enterprise Logística p/ Gestão +20 U.A.;23
CSATDECRM5;AT: CS Desktop Enterprise CRM 1a5 U.A.;195
CSONMMMPLAR;ON(m): CS Manufactor Manager Planning Rede;29,33
CSONMDEECOG21;ON(m): CS Desktop Enterprise Ecovalor p/ Gestão +20 U.A.;0,42
CSONMDACRMUA;ON(m): CS Desktop Advanced CRM U.A.;2,33
CSONAMESTS1P;ON: CS Advanced Multi Estação Serviço 1º Posto;91
CSONDCPROJUA;ON: CS Desktop Corporate Projeto p/ Gestão U.A.;38
CSATMMPLATIUA;AT: CS Manufactor Manager Platform Intranet U.A.;5
CSONMCSUPSAR;ON(m): CS Corporate Suporte Srv.Adic.Rede;9,83
CSWEEQUI21;CS Web Enterprise Equipa +20 U.A.;73
CSWAECOGUA;CS Web Advanced Ecovalor p/ Gestão U.A.;27
CSONAEQUISA;ON: CS Advanced Equipa Srv.Adic.;204
CSONMDEQUADB5;ON(m): CS Desktop Enterprise Qualidade+Documentos+BPM 1a5 U.;8,58
CSSAWCRGPD;SA: CS Web Corporate RGPD;9
CSCMULTSA;CS Corporate Multilingua Srv.Adic.;220
CSSAEDE;SA: CS Enterprise Documentos Eletrónicos;477
