ref;design;Preco_Euros
CSONMDAORCAPUA;ON(m): CS Desktop Advanced Orçamento p/ Gestão U.A.;2,33
CSONDELOGIG5;ON: CS Desktop Enterprise Logística p/ Gestão 1a5 U.A.;37
CSATWCEQUI120;AT: CS Web Corporate Equipa 1a20 U.A.;19
CSAGESSA;CS Advanced Gestão Srv.Adic.;1888
CSSADAGAI101;SA: CS Desktop Advanced GenAI +100 U.A.;2
CSONDEEQUI20;ON: CS Desktop Enterprise Equipa 6a20 U.A.;37
CSATDESHST21;AT: CS Desktop Enterprise SHST +20 U.A.;23
CSCFROTR;CS Corporate Frota Rede;1097
CSSACMEDIPR;SA: CS Corporate Medição p/ Gestão Rede;573
CSONWEGREG5;ON: CS Web Enterprise Grelhas p/ Gestão 1a5 U.A.;16
CSONMDCVENCUA;ON(m): CS Desktop Corporate Vencimentos U.A.;1,08
CSONARESPA;ON: CS Advanced Restauração Posto Adic.;111
CSCDESA;CS Corporate Documentos Eletrónicos Srv.Adic.;190
CSONDECRM20;ON: CS Desktop Enterprise CRM 6a20 U.A.;37
CSONCORCAPSAM;ON: CS Corporate Orçamento p/ Gestão Srv.Adic.Mono;134
CSDEQUADB5;CS Desktop Enterprise Qualidade+Documentos+BPM 1a5 U.A.;555
CSONMWEFORM5;ON(m): CS Web Enterprise Formação 1a5 U.A.;6,25
CSONWASUPE;ON: CS Web Advanced Suporte Extranet;352
CSWCEQUIE;CS Web Corporate Equipa Extranet;572
CSATCEQPMP5P;AT: CS Corporate Equipamento p/ POS 1a5 Postos;47
CSDACONTPUA;CS Desktop Advanced Controlo p/ Gestão U.A.;79
CSONMDECAR5;ON(m): CS Desktop Enterprise Careers 1a5 U.A.;8,33
CSONMCSMS;ON(m): CS Corporate SMS;4,67
CSONWCGAI120;ON: CS Web Corporate GenAI 1a20 U.A.;4
CSSAWACRMUA;SA: CS Web Advanced CRM U.A.;38
CSATWEEQUI21;AT: CS Web Enterprise Equipa +20 U.A.;37
CSATCEQUIM;AT: CS Corporate Equipa Mono;457
CSSAEECOGR;SA: CS Enterprise Ecovalor p/ Gestão Rede;417
CSSACIMOBM;SA: CS Corporate Imobilizado Mono;352
CSATCGESM;AT: CS Corporate Gestão Mono;914
CSASERVGR;CS Advanced Serviços Rede;567
CSONWACAR100;ON: CS Web Advanced Careers 21a100 U.A.;6
CSAPGLOWUA;CS Web Advanced Global Web U.A.;704
CSDECAR21;CS Desktop Enterprise Careers +20 U.A.;135
CSSAAPROJR;SA: CS Advanced Projeto p/ Gestão Rede;1910
CSATDEEQUI21;AT: CS Desktop Enterprise Equipa +20 U.A.;50
CSONWEIMOB21;ON: CS Web Enterprise Imobilizado +20 U.A.;17
CSATEIMOBR;AT: CS Enterprise Imobilizado Rede;2969
CSONMWCGREE;ON(m): CS Web Corporate Grelhas Extranet;2,75
CSONMEFROTR;ON(m): CS Enterprise Frota Rede;65,75
CSATWEEQUI5;AT: CS Web Enterprise Equipa 1a5 U.A.;143
CSDEQUADB20;CS Desktop Enterprise Qualidade+Documentos+BPM 6a20 U.A.;274
CSONMDCIMOBUA;ON(m): CS Desktop Corporate Imobilizado U.A.;1,08
CSONMDEDOCB20;ON(m): CS Desktop Enterprise Documentos + BPM 6a20 U.A.;2,58
CSSAARGPD;SA: CS Advanced RGPD;226
CSDEIMOV20;CS Desktop Enterprise Imóveis 6a20 U.A.;331
CSSAWACOLAB101;SA: CS Web Advanced Colaborador +100 U.A.;3
CSONMDECONS21;ON(m): CS Desktop Enterprise Consolidação +20 U.A.;2,08
CSATCGREGSAR;AT: CS Corporate Grelhas p/ Gestão Srv.Adic.Rede;137
CSEIECAP10P;CS Enterprise IEC Álcool p/ POS 1a10 Postos;114
CSCMEDIPSAM;CS Corporate Medição p/ Gestão Srv.Adic.Mono;723
CSONMEEQPMGR;ON(m): CS Enterprise Equipamento p/ Gestão Rede;19,5
CSONEOBRGSA;ON: CS Enterprise Obras p/ Gestão Srv.Adic.;70
CSDAQUALIUA;CS Desktop Advanced Qualidade U.A.;151
CSATEDOCBR;AT: CS Enterprise Documentos + BPM Rede;1888
CSSAEPOS10P;SA: CS Enterprise POS 1a10 Postos;316
CSONDEMEDIP20;ON: CS Desktop Enterprise Medição p/ Gestão 6a20 U.A.;26
CSONMCINT;ON(m): CS Corporate Intrastat;11,75
CSSAWEGES5;SA: CS Web Enterprise Gestão 1a5 U.A.;377
CSONELETSA;ON: CS Enterprise Letras Srv.Adic.;210
CSONDCDOCUA;ON: CS Desktop Corporate Documentos U.A.;8
CSACONTSA;CS Advanced Contabilidade Srv.Adic.;1485
CSONMEPROJR;ON(m): CS Enterprise Projeto p/ Gestão Rede;115
CSSAEFORMR;SA: CS Enterprise Formação Rede;1986
CSWEOKR401;CS Web Enterprise OKR +400 U.A.;12
CSSADECAR5;SA: CS Desktop Enterprise Careers 1a5 U.A.;179
CSONMAFORMR;ON(m): CS Advanced Formação Rede;34
CSSADCPGSUA;SA: CS Desktop Corporate Gestão Completo + Suporte U.A.;50
CSONDEEQUI21;ON: CS Desktop Enterprise Equipa +20 U.A.;18
CSONASERVGSA;ON: CS Advanced Serviços Srv.Adic.;53
CSATCDOCSAM;AT: CS Corporate Documentos Srv.Adic.Mono;190
CSONMESCR;ON(m): CS Enterprise Safe Credit Rede;8,25
CSONMCCLISAM;ON(m): CS Corporate Clínica Srv.Adic.Mono;8,25
CSATDAIMOVUA;AT: CS Desktop Advanced Imóveis U.A.;76
CSCDOCSAR;CS Corporate Documentos Srv.Adic.Rede;457
CSSAWCSUP120;SA: CS Web Corporate Suporte 1a20 U.A.;17
CSONWECAR100;ON: CS Web Enterprise Careers 21a100 U.A.;12
CSONALOTGSA;ON: CS Advanced Lotes p/ Gestão Srv.Adic.;170
CSCEQPMGM;CS Corporate Equipamento p/ Gestão Mono;460
CSONCGREGR;ON: CS Corporate Grelhas p/ Gestão Rede;101
CSONMDEOBRG5;ON(m): CS Desktop Enterprise Obras p/ Gestão 1a5 U.A.;1,75
CSONMEPLANPR;ON(m): CS Enterprise Planeamento p/ Gestão Rede;21,17
CSCMULTR5P;CS Corporate Multilingua p/ Restauração 1a5 Postos;80
CSCIMOVSAR;CS Corporate Imóveis Srv.Adic.Rede;457
CSATCGESTEM;AT: CS Corporate Gestão Terceiros Mono;686
CSSAWCSUPE;SA: CS Web Corporate Suporte Extranet;314
CSWEEQPMG20;CS Web Enterprise Equipamento p/ Gestão 6a20 U.A.;39
CSSADCGESCLUA;SA: CS Desktop Corporate Gestão Clientes U.A.;9
CSONMCTERMR;ON(m): CS Corporate Terminais p/ Rest.;1,25
CSATACONTPR;AT: CS Advanced Controlo p/ Gestão Rede;534
CSSAWEGES20;SA: CS Web Enterprise Gestão 6a20 U.A.;188
CSATAIMOVR;AT: CS Advanced Imóveis Rede;1104
CSATCLETR;AT: CS Corporate Letras Rede;366
CSONCECOGM;ON: CS Corporate Ecovalor p/ Gestão Mono;85
CSONMWCDEEXT;ON(m): CS Web Corporate Documentos Eletrónicos Extranet;3,67
CSSAWECAR100;SA: CS Web Enterprise Careers 21a100 U.A.;21
CSONMEPLATUA;ON: CS Manufactor Executive Platform U.A.;167
CSATDEGREG20;AT: CS Desktop Enterprise Grelhas p/ Gestão 6a20 U.A.;27
CSATETERMPSA;AT: CS Enterprise Terminais Portáteis Srv.Adic.;457
CSWEEQUIE;CS Web Enterprise Equipa Extranet;1902
CSONDEREVIP5;ON: CS Desktop Enterprise Revisão de Preços 1a5 U.A.;48
CSCSINC5P;CS Corporate Sincro 1a5 Postos;150
CSONCGESTER;ON: CS Corporate Gestão Terceiros Rede;304
CSONMWACAR101;ON(m): CS Web Advanced Careers +100 U.A.;0,17
CSSADAREVIPUA;SA: CS Desktop Advanced Revisão de Preços U.A.;50
CSONMWEDOC20;ON(m): CS Web Enterprise Documentos 6a20 U.A.;1,92
CSATESINC21P;AT: CS Enterprise Sincro +20 Postos;86
CSONMWCIMOB120;ON(m): CS Web Corporate Imobilizado 1a20 U.A.;0,75
CSSACGREP5P;SA: CS Corporate Grelhas p/ POS 1a5 Postos;23
CSATMETOUR;AT: CS Manufactor Executive Touch Rede;762
CSEXL1P;CS Enterprise XL 1º Posto;807
CSDEFORM20;CS Desktop Enterprise Formação 6a20 U.A.;273
CSSADAFORMUA;SA: CS Desktop Advanced Formação U.A.;50
CSATAPOSPA;AT: CS Advanced POS Posto Adic.;300
CSONMWECAR5;ON(m): CS Web Enterprise Careers 1a5 U.A.;1,92
CSONAORCAPR;ON: CS Advanced Orçamento p/ Gestão Rede;408
CSONWAIMOBUA;ON: CS Web Advanced Imobilizado U.A.;27
CSEECOP21P;CS Enterprise Ecovalor p/ POS +20 Postos;78
CSATDEGES5;AT: CS Desktop Enterprise Gestão 1a5 U.A.;773
CSONMWADOC101;ON(m): CS Web Advanced Documentos +100 U.A.;0,42
CSATASHSTSA;AT: CS Advanced SHST Srv.Adic.;210
CSAEQPMGR;CS Advanced Equipamento p/ Gestão Rede;567
CSONWEGAI5;ON: CS Web Enterprise GenAI 1a5 U.A.;12
CSSAWACAR101;SA: CS Web Advanced Careers +100 U.A.;3
CSATCLOTGSAM;AT: CS Corporate Lotes p/ Gestão Srv.Adic.Mono;153
CSONMDAECOGUA;ON(m): CS Desktop Advanced Ecovalor p/ Gestão U.A.;0,58
CSONMECARSA;ON(m): CS Enterprise Careers Srv.Adic.;10,33
CSSAWEFORM21;SA: CS Web Enterprise Formação +20 U.A.;33
CSATCSERVGSAR;AT: CS Corporate Serviços Srv.Adic.Rede;137
CSONMDEGAI400;ON(m): CS Desktop Enterprise GenAI 101a400 U.A.;0,17
CSATEDERES;AT: CS Enterprise Documentos Eletrónicos p/ Restauração;100
CSDESUPST20;CS Desktop Enterprise Suporte + Stocks 6a20 U.A.;342
CSAFORNRPA;CS Advanced Fornecedores p/ Rest. Posto;504
CSONMMTOUR;ON: CS Manufactor Manager Touch Rede;98
CSWECOLAB400;CS Web Enterprise Colaborador 101a400 U.A.;15
CSONDCCLIUA;ON: CS Desktop Corporate Clínica U.A.;13
CSONDAREVIPUA;ON: CS Desktop Advanced Revisão de Preços U.A.;28
CSSAWEIMOB21;SA: CS Web Enterprise Imobilizado +20 U.A.;31
CSSADEDOCB20;SA: CS Desktop Enterprise Documentos + BPM 6a20 U.A.;55
CSSADEVENC21;SA: CS Desktop Enterprise Vencimentos +20 U.A.;45
CSONWEEQUI5;ON: CS Web Enterprise Equipa 1a5 U.A.;53
CSONEIMOBSA;ON: CS Enterprise Imobilizado Srv.Adic.;329
CSATCCONTPSAR;AT: CS Corporate Controlo p/ Gestão Srv.Adic.Rede;207
CSSAWEEQUIE;SA: CS Web Enterprise Equipa Extranet;628
CSEDEN;CS Enterprise Denúncias;1446
CSONDEGREG5;ON: CS Desktop Enterprise Grelhas p/ Gestão 1a5 U.A.;21
CSDESUP20;CS Desktop Enterprise Suporte 6a20 U.A.;273
CSONWCCRM120;ON: CS Web Corporate CRM 1a20 U.A.;7
CSATCPROJR;AT: CS Corporate Projeto p/ Gestão Rede;2010
CSATWEIMOB20;AT: CS Web Enterprise Imobilizado 6a20 U.A.;93
CSATDCECOGUA;AT: CS Desktop Corporate Ecovalor p/ Gestão U.A.;14
CSATWAECOGUA;AT: CS Web Advanced Ecovalor p/ Gestão U.A.;14
CSONMAESTS;ON(m): CS Advanced Estações de Serviço;14,08
CSONMEEDIBSA;ON(m): CS Enterprise EDI Broker Srv.Adic.;6,17
CSATCFORNP1P;AT: CS Corporate Fornecedores p/ POS 1º Posto;150
CSATCPROJSAM;AT: CS Corporate Projeto p/ Gestão Srv.Adic.Mono;838
CSSADEQUADB20;SA: CS Desktop Enterprise Qualidade+Documentos+BPM 6a20 U.A.;90
CSATDEOBRG21;AT: CS Desktop Enterprise Obras p/ Gestão +20 U.A.;14
CSONAPOSPA;ON: CS Advanced POS Posto Adic.;111
CSATDEFORM21;AT: CS Desktop Enterprise Formação +20 U.A.;68
CSONDACONTUA;ON: CS Desktop Advanced Contabilidade U.A.;39
CSONMDEGES20;ON(m): CS Desktop Enterprise Gestão 6a20 U.A.;11,92
CSATDAECOGUA;AT: CS Desktop Advanced Ecovalor p/ Gestão U.A.;19
CSONMEDESA;ON(m): CS Enterprise Documentos Eletrónicos Srv.Adic.;6,67
CSONCXL1P;ON: CS Corporate XL 1º Posto;70
CSATWCDOC120;AT: CS Web Corporate Documentos 1a20 U.A.;16
CSSAAPQDBR;SA: CS Advanced Qualidade + Documentos + BPM Rede;1093
CSSAAGREPPA;SA: CS Advanced Grelhas p/ POS Posto;31
CSATEECOGSA;AT: CS Enterprise Ecovalor p/ Gestão Srv.Adic.;190
CERTMANUII;Certificação PHC CS Manufactor Nível II;175
CSONMWEDOC5;ON(m): CS Web Enterprise Documentos 1a5 U.A.;3,92
CSONDCGREGUA;ON: CS Desktop Corporate Grelhas p/ Gestão U.A.;5
CSONCSUPSAR;ON: CS Corporate Suporte Srv.Adic.Rede;118
CSONMWECAR100;ON(m): CS Web Enterprise Careers 21a100 U.A.;1
CSONDAPROJUA;ON: CS Desktop Advanced Projeto p/ Gestão U.A.;75
CSWEFORM20;CS Web Enterprise Formação 6a20 U.A.;203
CSATCDE;AT: CS Corporate Documentos Eletrónicos;190
CSONCCONTPSAR;ON: CS Corporate Controlo p/ Gestão Srv.Adic.Rede;76
CSSADCCRMUA;SA: CS Desktop Corporate CRM U.A.;17
CSONEPROJR;ON: CS Enterprise Projeto p/ Gestão Rede;1380
CSEIMOVR;CS Enterprise Imóveis Rede;7310
CSATCCONTM;AT: CS Corporate Contabilidade Mono;534
CSONMWEOKR401;ON(m): CS Web Enterprise OKR +400 U.A.;0,17
CSONWAEQPMGUA;ON: CS Web Advanced Equipamento p/ Gestão U.A.;5
CSATAQUALISA;AT: CS Advanced Qualidade Srv.Adic.;552
CSAXLPA;CS Advanced XL Posto Adic.;117
CSWAEQUIUA;CS Web Advanced Equipa U.A.;114
CSATDECAR20;AT: CS Desktop Enterprise Careers 6a20 U.A.;136
CSONMCSINC5P;ON(m): CS Corporate Sincro 1a5 Postos;2,33
CSAVENCR;CS Advanced Vencimentos Rede;2969
CSONMWADOCE;ON(m): CS Web Advanced Documentos Extranet;16,08
CSONDECONS20;ON: CS Desktop Enterprise Consolidação 6a20 U.A.;49
CSONMEQUALISA;ON(m): CS Enterprise Qualidade Srv.Adic.;19,75
CSONMDAEQPMGUA;ON(m): CS Desktop Advanced Equipamento p/ Gestão U.A.;0,58
CSSADEMEDIP5;SA: CS Desktop Enterprise Medição p/ Gestão 1a5 U.A.;94
CSMMGREPR;CS Manufactor Manager Grelhas Rede;760
CSONMWEGAI5;ON(m): CS Web Enterprise GenAI 1a5 U.A.;1
CSONDCFROTUA;ON: CS Desktop Corporate Frota U.A.;9
CERTGOBP;PHC GO Business Partner Certification;50
CSATECONTPR;AT: CS Enterprise Controlo p/ Gestão Rede;686
CSONMDEOCUG20;ON(m): CS Desktop Enterprise Ocupação p/ Gestão 6a20 U.A.;1,92
CSDCPGLOUA;CS Desktop Corporate Global U.A.;243
CSATDEOCUG5;AT: CS Desktop Enterprise Ocupação p/ Gestão 1a5 U.A.;123
CSATDEOBRG5;AT: CS Desktop Enterprise Obras p/ Gestão 1a5 U.A.;57
CSATDEDOCB21;AT: CS Desktop Enterprise Documentos + BPM +20 U.A.;45
CSSADEDOCB21;SA: CS Desktop Enterprise Documentos + BPM +20 U.A.;29
CSONEIECAGSA;ON: CS Enterprise IEC Álcool p/ Gestão Srv.Adic.;70
CSATCPOS1P;AT: CS Corporate POS 1º Posto;150
CSONMDEPLANP21;ON(m): CS Desktop Enterprise Planeamento p/ Gestão +20 U.A.;0,42
CSSACXL1P;SA: CS Corporate XL 1º Posto;125
CSCEQUIR;CS Corporate Equipa Rede;1097
CSONMMEPLAR;ON(m): CS Manufactor Executive Planning Rede;93,92
CSDCIMOVUA;CS Desktop Corporate Imóveis U.A.;42
CSONMCGESCLR;ON(m): CS Corporate Gestão Clientes Rede;7,33
CSEINTSA;CS Enterprise Intrastat Srv.Adic.;914
CSSAESERVGR;SA: CS Enterprise Serviços Rede;417
CSONMECARR;ON(m): CS Enterprise Careers Rede;34,33
CSONMWALOTGUA;ON(m): CS Web Advanced Lotes p/ Gestão U.A.;1,5
CSONCRGPDSA;ON: CS Corporate RGPD Srv.Adic.;35
CSATAFROTR;AT: CS Advanced Frota Rede;1104
CSONWEEQUI20;ON: CS Web Enterprise Equipa 6a20 U.A.;27
CSONMEOBRGR;ON(m): CS Enterprise Obras p/ Gestão Rede;19,5
CSONCEQPMGSAR;ON: CS Corporate Equipamento p/ Gestão Srv.Adic.Rede;51
CSONDCIMOVUA;ON: CS Desktop Corporate Imóveis U.A.;8
CSSADCPGGLOUA;SA: CS Desktop Corporate Gabinetes Global U.A.;54
CSATEMULTR20P;AT: CS Enterprise Multilingua p/ Restauração 11a20 Postos;61
CSONCGESTESAM;ON: CS Corporate Gestão Terceiros Srv.Adic.Mono;127
CSATECLIR;AT: CS Enterprise Clínica Rede;2132
CSONWADOCE;ON: CS Web Advanced Documentos Extranet;193
CSSACIMOVM;SA: CS Corporate Imóveis Mono;251
CSWECAR5;CS Web Enterprise Careers 1a5 U.A.;125
CSONECRMSA;ON: CS Enterprise CRM Srv.Adic.;237
CSSADESUPST20;SA: CS Desktop Enterprise Suporte + Stocks 6a20 U.A.;113
CSATAFORMR;AT: CS Advanced Formação Rede;1104
CSONMDEIECAG20;ON(m): CS Desktop Enterprise IEC Álcool p/ Gestão 6a20 U.A.;0,83
CSATCCONTSAM;AT: CS Corporate Contabilidade Srv.Adic.Mono;267
CSONMMETOUUA;ON(m): CS Manufactor Executive Touch U.A.;2,33
CSCRGPDRPA;CS Corporate RGPD p/ Restauração Posto;95
CSATAMULTSA;AT: CS Advanced Multilingua Srv.Adic.;198
CSATCDERES;AT: CS Corporate Documentos Eletrónicos p/ Restauração;40
CSONMERGPDPPA;ON(m): CS Enterprise RGPD p/ POS Posto;3,67
CSATWACAR100;AT: CS Web Advanced Careers 21a100 U.A.;16
CSONAESTS;ON: CS Advanced Estações de Serviço;169
CSSAWERECRU21;SA: CS Web Enterprise Recrutamento +20 U.A.;46
CSSAAORCAPR;SA: CS Advanced Orçamento p/ Gestão Rede;729
CSONEIMOVR;ON: CS Enterprise Imóveis Rede;1352
CSONARGPD;ON: CS Advanced RGPD;127
CSCFORNP5P;CS Corporate Fornecedores p/ POS 2a5 Postos;366
CSONDEQUADB20;ON: CS Desktop Enterprise Qualidade+Documentos+BPM 6a20 U.A.;51
CSSAWEBC10;SA: CS Web Enterprise Bank Connector 10;383
CSDECLI20;CS Desktop Enterprise Clínica 6a20 U.A.;196
CSATDEFROT21;AT: CS Desktop Enterprise Frota +20 U.A.;49
CSONMAORCAPR;ON(m): CS Advanced Orçamento p/ Gestão Rede;34
CSATWCSUPE;AT: CS Web Corporate Suporte Extranet;475
CSATCIECAP5P;AT: CS Corporate IEC Álcool p/ POS 1a5 Postos;36
CSONMADEN;ON(m): CS Advanced Denúncias;10,58
CSAEQUISA;CS Advanced Equipa Srv.Adic.;1104
CSONEESTS;ON: CS Enterprise Estações de Serviço;225
CSATAXL1P;AT: CS Advanced XL 1º Posto;309
